Entity Name,Entity ID,Fiscal Year,Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Secured and Unsecured Property Taxes_General Revenues_Taxes,Secured and Unsecured Property Taxes_Total Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_General Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Total Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Functional Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_General Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Total Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Property Taxes – Prior_Functional Revenues_Taxes,Property Taxes – Prior_General Revenues_Taxes,Property Taxes – Prior_Total Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Functional Revenues_Taxes,Supplemental Roll Property Taxes – Prior_General Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Total Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Functional Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_General Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Total Revenues_Taxes,Residual Property Taxes (ABX1 26)_Functional Revenues_Taxes,Residual Property Taxes (ABX1 26)_General Revenues_Taxes,Residual Property Taxes (ABX1 26)_Total Revenues_Taxes,Parcel Tax_Functional Revenues_Taxes,Parcel Tax_General Revenues_Taxes,Parcel Tax_Total Revenues_Taxes,Other Property Taxes_Functional Revenues_Taxes,Other Property Taxes_General Revenues_Taxes,Other Property Taxes_Total Revenues_Taxes,"Interest, Penalties, and Delinquent Taxes_Functional Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_General Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_Total Revenues_Taxes",Sales and Use Taxes_Functional Revenues_Taxes,Sales and Use Taxes_General Revenues_Taxes,Sales and Use Taxes_Total Revenues_Taxes,Transportation Taxes – Transit_Functional Revenues_Taxes,Transportation Taxes – Transit_Total Revenues_Taxes,Transportation Taxes – Nontransit_Functional Revenues_Taxes,Transportation Taxes – Nontransit_Total Revenues_Taxes,Transient Occupancy Taxes_Functional Revenues_Taxes,Transient Occupancy Taxes_General Revenues_Taxes,Transient Occupancy Taxes_Total Revenues_Taxes,Franchises_Functional Revenues_Taxes,Franchises_General Revenues_Taxes,Franchises_Total Revenues_Taxes,Business License Taxes_Functional Revenues_Taxes,Business License Taxes_General Revenues_Taxes,Business License Taxes_Total Revenues_Taxes,Real Property Transfer Taxes_Functional Revenues_Taxes,Real Property Transfer Taxes_General Revenues_Taxes,Real Property Transfer Taxes_Total Revenues_Taxes,Utility Users Taxes_Functional Revenues_Taxes,Utility Users Taxes_General Revenues_Taxes,Utility Users Taxes_Total Revenues_Taxes,Construction Development Taxes_Functional Revenues_Taxes,Construction Development Taxes_General Revenues_Taxes,Construction Development Taxes_Total Revenues_Taxes,Admission Tax_Functional Revenues_Taxes – Other,Admission Tax_General Revenues_Taxes – Other,Admission Tax_Total Revenues_Taxes – Other,Parking Tax_Functional Revenues_Taxes – Other,Parking Tax_Total Revenues_Taxes – Other,Employers Payroll Tax_General Revenues_Taxes – Other,Employers Payroll Tax_Total Revenues_Taxes – Other,Other Taxes – Other (Specify)_Functional Revenues_Taxes – Other,Other Taxes – Other (Specify)_General Revenues_Taxes – Other,Other Taxes – Other (Specify)_Total Revenues_Taxes – Other,Total Taxes_Functional Revenues_,Total Taxes_General Revenues_,Total Taxes_Total Revenues_
San Mateo,1503,2020,NULL,40194093,40194093,NULL,1275865,1275865,NULL,11755052,11755052,2297793,2297793,NULL,NULL,NULL,NULL,NULL,NULL,3128,3128,NULL,4851318,4851318,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23046534,23046534,NULL,NULL,3727760,3727760,813558,4276645,5090203,NULL,3170549,3170549,NULL,5592312,5592312,NULL,9137370,9137370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5519034,5519034,6839111,108821900,115661011
San Pablo,1504,2020,NULL,483484,483484,NULL,41020,41020,NULL,2819514,2819514,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,180959,180959,NULL,819426,819426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3116808,3116808,279206,279206,478982,478982,NULL,235597,235597,NULL,901680,901680,575530,23404193,23979723,NULL,116591,116591,NULL,2532148,2532148,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1007160,804369,1811529,2340878,35455789,37796667
San Rafael,1505,2020,NULL,15992060,15992060,NULL,383164,383164,NULL,6010310,6010310,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33316148,33316148,NULL,NULL,49934,49934,NULL,2410745,2410745,NULL,4029050,4029050,NULL,2824722,2824722,NULL,1284798,1284798,NULL,NULL,NULL,1985231,36853,2022084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3869743,3869743,2035165,70157593,72192758
San Ramon,1506,2020,NULL,15961404,15961404,NULL,373680,373680,NULL,5534802,5534802,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58466,58466,NULL,239150,239150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10409861,10409861,NULL,NULL,2641835,2641835,NULL,2316300,2316300,NULL,4994029,4994029,NULL,249070,249070,NULL,659048,659048,NULL,NULL,NULL,862008,NULL,862008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3503843,40795810,44299653
Sand City,1507,2020,NULL,89704,89704,NULL,10120,10120,NULL,36709,36709,NULL,NULL,NULL,NULL,NULL,926,926,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,131809,131809,NULL,NULL,NULL,NULL,4880185,4880185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,91257,91257,NULL,499855,499855,NULL,5968,5968,NULL,145800,145800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5892333,5892333
Sanger,1508,2020,NULL,1743951,1743951,NULL,50939,50939,NULL,42,42,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6592141,6592141,NULL,NULL,NULL,NULL,NULL,4373,4373,NULL,487939,487939,NULL,124197,124197,NULL,51451,51451,NULL,1521495,1521495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,664254,250000,914254,664254,10826528,11490782
Santa Ana,1509,2020,NULL,38846491,38846491,NULL,NULL,NULL,NULL,34663784,34663784,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1370588,1370588,NULL,11054295,11054295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45707162,45707162,NULL,NULL,6587143,6587143,NULL,7739780,7739780,NULL,9171405,9171405,NULL,13031757,13031757,NULL,1010591,1010591,NULL,21710236,21710236,407310,NULL,407310,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73499078,73499078,6994453,257805167,264799620
Santa Barbara,1510,2020,NULL,23235482,23235482,NULL,NULL,NULL,NULL,10824552,10824552,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3666,3666,NULL,3974548,3974548,NULL,NULL,NULL,NULL,281697,281697,NULL,NULL,NULL,NULL,243606,243606,NULL,45063168,45063168,NULL,NULL,4021542,4021542,3028065,15140000,18168065,NULL,3872285,3872285,NULL,2762352,2762352,NULL,657612,657612,NULL,14135882,14135882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7049607,120194850,127244457
Santa Clara,1511,2020,NULL,40092583,40092583,NULL,1070405,1070405,NULL,15562178,15562178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5546339,5546339,NULL,NULL,NULL,NULL,3226520,3226520,NULL,NULL,NULL,NULL,54609258,54609258,NULL,NULL,75000,75000,NULL,15993791,15993791,NULL,4529679,4529679,NULL,941563,941563,NULL,1319304,1319304,NULL,NULL,NULL,226172,NULL,226172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,862532,862532,301172,143754152,144055324
Santa Clarita,1512,2020,NULL,27496582,27496582,NULL,NULL,NULL,NULL,18516360,18516360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,36621145,36621145,6273478,6273478,11932122,11932122,NULL,2726113,2726113,NULL,8139163,8139163,NULL,316855,316855,NULL,1418026,1418026,NULL,NULL,NULL,2708611,NULL,2708611,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,35312,35312,20914211,95269556,116183767
Santa Cruz,1513,2020,NULL,14625149,14625149,NULL,267486,267486,NULL,6328238,6328238,506257,506257,NULL,NULL,NULL,59811,59811,NULL,NULL,NULL,NULL,2049426,2049426,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20982299,20982299,1013564,1013564,3388572,3388572,NULL,8035134,8035134,NULL,4014249,4014249,NULL,867252,867252,NULL,319874,319874,NULL,11459173,11459173,NULL,NULL,NULL,NULL,1721753,1721753,509965,509965,NULL,NULL,500950,2725078,3226028,5919308,73454922,79374230
Santa Fe Springs,1514,2020,NULL,2489602,2489602,NULL,NULL,NULL,NULL,2133660,2133660,NULL,NULL,NULL,NULL,NULL,6536,6536,NULL,NULL,NULL,NULL,2122412,2122412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13022,13022,NULL,30497960,30497960,1114195,1114195,NULL,NULL,NULL,132232,132232,NULL,3495821,3495821,NULL,752800,752800,NULL,315341,315341,NULL,6190273,6190273,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13377564,13377564,1114195,61527223,62641418
Santa Maria,1515,2020,27323,11410842,11438165,531,214162,214693,NULL,9278869,9278869,NULL,NULL,NULL,NULL,170,59728,59898,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,470,344678,345148,NULL,NULL,NULL,NULL,23377687,23377687,NULL,NULL,90253,90253,NULL,2949707,2949707,NULL,4660913,4660913,41896,617550,659446,NULL,252487,252487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6146866,19363970,25510836,6307509,72530593,78838102
Santa Monica,1516,2020,NULL,35074437,35074437,NULL,817489,817489,NULL,12211821,12211821,1085579,1085579,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3772370,3772370,NULL,13624154,13624154,3263825,NULL,3263825,NULL,299581,299581,NULL,731516,731516,NULL,65769352,65769352,1344421,1344421,3911195,3911195,NULL,48624638,48624638,281300,2320181,2601481,556906,33894714,34451620,61008,6856663,6917671,NULL,28026008,28026008,3114714,NULL,3114714,NULL,NULL,NULL,11072445,11072445,NULL,NULL,NULL,NULL,NULL,24691393,252022924,276714317
Santa Paula,1517,2020,NULL,645695,645695,NULL,36483,36483,NULL,2961295,2961295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,130530,130530,NULL,NULL,NULL,NULL,74602,74602,NULL,NULL,NULL,NULL,5853239,5853239,NULL,NULL,NULL,NULL,NULL,99730,99730,NULL,725157,725157,NULL,127230,127230,NULL,127129,127129,NULL,NULL,NULL,NULL,10458,10458,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,10791548,10791548
Santa Rosa,1518,2020,NULL,28365642,28365642,NULL,538595,538595,NULL,14578349,14578349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,272909,272909,NULL,1462607,1462607,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38181219,38181219,NULL,NULL,32111,32111,NULL,4836145,4836145,NULL,10868838,10868838,NULL,4546166,4546166,NULL,3431689,3431689,NULL,10669391,10669391,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14040692,18968877,33009569,14072803,136720427,150793230
Santee,1519,2020,396159,10730271,11126430,NULL,NULL,NULL,NULL,6394942,6394942,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,467428,467428,NULL,1629715,1629715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,121183,121183,NULL,14794271,14794271,NULL,NULL,1236972,1236972,NULL,553496,553496,NULL,3014456,3014456,NULL,NULL,NULL,NULL,300958,300958,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,72063,NULL,72063,1705194,38006720,39711914
Saratoga,1520,2020,NULL,9784690,9784690,NULL,223343,223343,NULL,3934538,3934538,697735,697735,NULL,NULL,NULL,-78686,-78686,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,722239,722239,NULL,NULL,NULL,NULL,1056700,1056700,NULL,NULL,1327864,1327864,NULL,210326,210326,NULL,2604702,2604702,NULL,447337,447337,NULL,410261,410261,NULL,NULL,NULL,NULL,501022,501022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,210458,NULL,210458,2236057,19816472,22052529
Sausalito,1521,2020,NULL,3464363,3464363,NULL,NULL,NULL,NULL,838795,838795,600440,600440,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3778933,3778933,NULL,NULL,173861,173861,NULL,1313921,1313921,NULL,770169,770169,NULL,1763872,1763872,NULL,103725,103725,NULL,NULL,NULL,122356,NULL,122356,NULL,NULL,NULL,NULL,NULL,NULL,NULL,71558,NULL,71558,968215,12033778,13001993
Scotts Valley,1522,2020,NULL,976707,976707,NULL,21723,21723,NULL,1195462,1195462,NULL,NULL,NULL,NULL,NULL,1947,1947,NULL,2161,2161,NULL,3042,3042,NULL,424629,424629,NULL,NULL,NULL,NULL,401691,401691,NULL,12109,12109,NULL,2309677,2309677,311638,311638,NULL,NULL,NULL,1520372,1520372,NULL,1043116,1043116,NULL,253533,253533,NULL,98776,98776,NULL,794878,794878,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1384140,1384140,311638,10443963,10755601
Seal Beach,1523,2020,NULL,9115553,9115553,NULL,167765,167765,NULL,2862852,2862852,NULL,NULL,NULL,NULL,NULL,49841,49841,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,294549,NULL,294549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3898735,3898735,NULL,NULL,430791,430791,NULL,1298707,1298707,NULL,1034280,1034280,NULL,728567,728567,NULL,119514,119514,NULL,3941877,3941877,7200,NULL,7200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5078781,5078781,732540,28296472,29029012
Seaside,1524,2020,NULL,1879313,1879313,NULL,90387,90387,NULL,3787457,3787457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,886620,886620,NULL,1703454,1703454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13751243,13751243,NULL,NULL,768071,768071,NULL,3038525,3038525,NULL,2541887,2541887,NULL,843833,843833,NULL,111308,111308,NULL,2405126,2405126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,768071,31039153,31807224
Sebastopol,1525,2020,NULL,1493352,1493352,NULL,NULL,NULL,NULL,808459,808459,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,467287,467287,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3851977,3851977,NULL,NULL,NULL,NULL,NULL,518175,518175,NULL,336738,336738,NULL,160086,160086,NULL,38066,38066,NULL,669647,669647,NULL,25083,25083,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,8368870,8368870
Selma,1526,2020,NULL,1440232,1440232,NULL,41739,41739,NULL,2096189,2096189,213204,213204,NULL,NULL,NULL,2809,2809,NULL,NULL,NULL,NULL,NULL,NULL,NULL,164139,164139,36666,NULL,36666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6745431,6745431,NULL,NULL,1601086,1601086,NULL,382830,382830,NULL,911952,911952,NULL,227583,227583,NULL,45364,45364,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2273181,0,2273181,4124137,12058268,16182405
Shafter,1527,2020,NULL,1728373,1728373,NULL,20102,20102,NULL,2449731,2449731,NULL,NULL,NULL,NULL,NULL,11336,11336,NULL,467,467,NULL,1547,1547,NULL,169199,169199,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1969,1969,NULL,22417415,22417415,NULL,NULL,858110,858110,NULL,NULL,NULL,NULL,785221,785221,NULL,64874,64874,NULL,51570,51570,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,858110,27701804,28559914
Shasta Lake,1528,2020,NULL,818801,818801,NULL,NULL,NULL,NULL,937646,937646,14024,14024,NULL,NULL,NULL,NULL,NULL,NULL,35965,35965,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,904829,904829,NULL,NULL,NULL,NULL,778835,778835,NULL,NULL,NULL,NULL,NULL,7505,7505,NULL,206156,206156,NULL,21363,21363,NULL,34146,34146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1001583,NULL,1001583,1015607,3745246,4760853
Sierra Madre,1529,2020,NULL,4900498,4900498,NULL,NULL,NULL,NULL,1363878,1363878,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,457595,457595,NULL,NULL,NULL,NULL,63229,63229,NULL,6938,6938,NULL,329687,329687,NULL,NULL,281409,281409,NULL,NULL,NULL,NULL,532407,532407,NULL,NULL,NULL,NULL,80879,80879,NULL,2735621,2735621,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12564,142740,155304,293973,10613472,10907445
Signal Hill,1530,2020,NULL,705983,705983,NULL,23433,23433,NULL,1241680,1241680,NULL,NULL,NULL,NULL,NULL,3161,3161,NULL,NULL,NULL,NULL,NULL,NULL,NULL,349551,349551,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3263,3263,NULL,16834464,16834464,224398,224398,482391,482391,NULL,234338,234338,NULL,887347,887347,NULL,692281,692281,NULL,111146,111146,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,706789,21086647,21793436
Simi Valley,1531,2020,NULL,24127586,24127586,NULL,378005,378005,NULL,12732002,12732002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1411927,1411927,NULL,NULL,NULL,NULL,14028,14028,NULL,73130,73130,NULL,18319232,18319232,NULL,NULL,4071616,4071616,NULL,1572240,1572240,NULL,5150817,5150817,NULL,2112049,2112049,NULL,716882,716882,NULL,NULL,NULL,147659,NULL,147659,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4219275,66607898,70827173
Solana Beach,1532,2020,NULL,8261801,8261801,NULL,NULL,NULL,NULL,1731784,1731784,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3853,54099,57952,16793,163108,179901,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38329,38329,NULL,3291805,3291805,NULL,NULL,150616,150616,NULL,1456898,1456898,NULL,829158,829158,NULL,60588,60588,NULL,179635,179635,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,171262,16067205,16238467
Soledad,1533,2020,NULL,437958,437958,NULL,16810,16810,NULL,2932223,2932223,NULL,NULL,NULL,NULL,NULL,4230,4230,NULL,NULL,NULL,NULL,203964,203964,NULL,NULL,NULL,NULL,NULL,NULL,403315,NULL,403315,NULL,NULL,NULL,NULL,3027026,3027026,NULL,NULL,576569,576569,NULL,234076,234076,NULL,138175,138175,NULL,100610,100610,NULL,NULL,NULL,NULL,680083,680083,911198,NULL,911198,NULL,NULL,NULL,NULL,NULL,NULL,NULL,33620,NULL,33620,1924702,7775155,9699857
Solvang,1534,2020,NULL,853273,853273,NULL,15525,15525,NULL,542923,542923,NULL,NULL,NULL,NULL,NULL,9481,9481,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1347670,1347670,NULL,NULL,486075,486075,NULL,3440275,3440275,NULL,258176,258176,NULL,29635,29635,NULL,51382,51382,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,486075,6548340,7034415
Sonoma,1535,2020,NULL,4310824,4310824,NULL,74692,74692,NULL,1149103,1149103,NULL,NULL,NULL,NULL,NULL,2010,2010,NULL,NULL,NULL,NULL,834778,834778,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5288545,5288545,NULL,NULL,NULL,NULL,NULL,3389417,3389417,NULL,482990,482990,NULL,377876,377876,NULL,97323,97323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1701719,-1701719,0,14305839,14305839
Sonora,1536,2020,NULL,607593,607593,NULL,0,NULL,NULL,421446,421446,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,189422,189422,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2708789,2708789,30248,30248,NULL,NULL,NULL,326882,326882,NULL,130939,130939,NULL,260552,260552,NULL,41967,41967,NULL,NULL,NULL,NULL,7039,7039,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1874671,NULL,1874671,1904919,4694629,6599548
South El Monte,1537,2020,NULL,893887,893887,NULL,NULL,NULL,NULL,3348795,3348795,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7343637,7343637,405323,405323,871238,871238,NULL,236442,236442,NULL,973919,973919,NULL,475744,475744,NULL,107691,107691,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1276561,13380115,14656676
South Gate,1538,2020,NULL,2920086,2920086,NULL,NULL,NULL,NULL,10506292,10506292,NULL,NULL,NULL,NULL,NULL,6188,6188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,624450,624450,NULL,7834,7834,NULL,21162524,21162524,NULL,NULL,1355430,1355430,NULL,411821,411821,NULL,1568313,1568313,NULL,1397111,1397111,NULL,120945,120945,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1647239,NULL,1647239,3002669,38725564,41728233
South Lake Tahoe,1539,2020,NULL,8359967,8359967,NULL,272743,272743,NULL,2266219,2266219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,230603,NULL,230603,NULL,281110,281110,NULL,145122,145122,NULL,8375403,8375403,NULL,NULL,NULL,NULL,NULL,17286076,17286076,NULL,1679459,1679459,NULL,1579483,1579483,NULL,261887,261887,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,152082,NULL,152082,382685,40507469,40890154
South Pasadena,1540,2020,NULL,11689064,11689064,NULL,333877,333877,NULL,3166361,3166361,NULL,NULL,NULL,NULL,NULL,-29505,-29505,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,342237,342237,NULL,251563,251563,NULL,35319,35319,NULL,3229168,3229168,NULL,NULL,924676,924676,NULL,NULL,NULL,NULL,794838,794838,NULL,384844,384844,NULL,155292,155292,NULL,3445454,3445454,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80386,NULL,80386,1005062,23798512,24803574
South San Francisco,1541,2020,NULL,20430721,20430721,NULL,754578,754578,NULL,7457005,7457005,NULL,NULL,NULL,NULL,NULL,3487,3487,NULL,NULL,NULL,NULL,10554436,10554436,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19440986,19440986,NULL,NULL,2059220,2059220,NULL,13829025,13829025,NULL,4594577,4594577,NULL,1899271,1899271,NULL,572133,572133,NULL,NULL,NULL,7167374,NULL,7167374,NULL,NULL,NULL,2043972,2043972,NULL,NULL,NULL,15954962,15954962,11270566,95491181,106761747
St. Helena,1542,2020,NULL,4414649,4414649,NULL,127427,127427,NULL,776392,776392,NULL,NULL,NULL,NULL,NULL,964,964,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2822979,2822979,NULL,NULL,1256028,1256028,NULL,2686383,2686383,NULL,238151,238151,NULL,155819,155819,NULL,67964,67964,NULL,NULL,NULL,1648264,NULL,1648264,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1650599,1650599,2904292,12941327,15845619
Stanton,1543,2020,NULL,1406833,1406833,NULL,NULL,NULL,NULL,4155958,4155958,NULL,NULL,NULL,NULL,NULL,327,327,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1710679,1710679,NULL,NULL,NULL,NULL,8815874,8815874,NULL,NULL,NULL,NULL,NULL,512492,512492,NULL,1074241,1074241,NULL,370269,370269,NULL,110119,110119,NULL,1791516,1791516,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,730071,NULL,730071,730071,19948308,20678379
Stockton,1544,2020,NULL,35341187,35341187,NULL,1144175,1144175,NULL,24486989,24486989,NULL,NULL,NULL,NULL,NULL,37372,37372,NULL,NULL,NULL,NULL,815223,815223,NULL,1709334,1709334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,168830,168830,NULL,88613832,88613832,NULL,NULL,9426874,9426874,NULL,2834257,2834257,NULL,15292182,15292182,NULL,14556737,14556737,NULL,912388,912388,NULL,34537427,34537427,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,437889,22740174,23178063,9864763,243190107,253054870
